,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
67,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])C([H])([H])N([H])[H])N1[H],<fegrow.package.RMol object at 0x151af28e1300>,,21,False,False,False,
68,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])c([H])c(C#N)c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af28e0590>,,21,False,False,False,
69,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])C([H])([H])C(=O)O[H])N1[H],<fegrow.package.RMol object at 0x151af28f76a0>,,21,False,False,False,
70,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(c2c([H])c([H])c([H])c(C([H])([H])[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30b9620>,,21,False,False,False,
71,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])c([H])c([H])c(F)c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af309d9e0>,,21,False,False,False,
72,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af28f6200>,,21,False,False,False,
73,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](OC([H])(C([H])([H])[H])C([H])([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af28f5940>,,21,False,False,False,
74,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N([H])S(=O)(=O)C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30cd350>,,21,False,False,False,
75,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30bb830>,,21,False,False,False,
76,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(c2c([H])c([H])c([H])c([H])c2F)N1[H],<fegrow.package.RMol object at 0x151af28f4270>,,21,False,False,False,
